Titulo,Genero,original_language,Productora,Pais de produccion,Lanzamiento,Presupuesto,Ganancias
Now and Then,Comedy-Drama-Family,en,New Line Cinema,United States of America,1995,$12000000,$27400000.0
Intermission,Romance-Action-Comedy-Crime-Mystery-Drama,en,UK Film Council,Ireland,2003,$5000000,$4856298.0
[REC]2,Thriller-Horror,es,Filmax,Spain,2009,$5600000,$18469680.0
Sound Thoma,Comedy,ml,Priyanjali Films,India,2013,$833333,$3166666.0
My Week with Marilyn,Drama,en,BBC Films,United Kingdom,2011,$6400000,$35057696.0
History of the World- Part I,Comedy,en,Twentieth Century Fox Film Corporation,United States of America,1981,$11000000,$31672907.0
Fortress,Action-Thriller-Science Fiction,en,Village Roadshow Pictures,Australia,1992,$8000000,$6739141.0
The Strangers,Thriller-Horror-Mystery,en,Rogue Pictures,United States of America,2008,$9000000,$82391145.0
Moscow Belgium,Romance-Drama-Comedy,nl,none,Belgium,2008,$560000,$1500000.0
The Fugitive,Adventure-Action-Thriller-Crime-Mystery,en,Warner Bros.,United States of America,1993,$44000000,$368875760.0
The Other Woman,Comedy-Romance,en,Twentieth Century Fox Film Corporation,United States of America,2014,$40000000,$196781193.0
Renaissance,Action-Animation-Science Fiction,fr,Onyx Films,France,2006,$18000000,$1831348.0
xXx- Return of Xander Cage,Action-Adventure-Crime,en,Paramount Pictures,United States of America,2017,$85000000,$346302504.0
Premonition,Thriller-Drama-Mystery,en,TriStar Pictures,United States of America,2007,$20000000,$84146832.0
October Moon,Drama-Horror-Thriller-Romance,en,none,United States of America,2005,$13000,$40000.0
Hard Rain,Thriller,en,Paramount Pictures,Denmark,1998,$70000000,$19870567.0
Tower Heist,Action-Comedy,en,Universal Pictures,United States of America,2011,$75000000,$152930623.0
To Die For,Fantasy-Drama-Comedy-Thriller,en,The Rank Organisation,United States of America,1995,$20000000,$21284514.0
Ben-Hur,Action-Adventure-Drama-History,en,Metro-Goldwyn-Mayer (MGM),United States of America,1959,$15000000,$146900000.0
Casshern,Drama-Horror-Science Fiction,ja,none,Japan,2004,$6000000,$1530216.0
Legend of the Lost,Adventure-Drama,en,United Artists,Italy,1957,$1750000,$2200000.0
Fireproof,Drama,en,Carmel Entertainment,United States of America,2008,$500000,$33456317.0
Pane e burlesque,Comedy,it,Italian International Film,Italy,2014,$2000000,$319180.0
The Jungle Book,Adventure-Drama-Fantasy,en,Walt Disney Pictures,United Kingdom,2016,$175000000,$966550600.0
Bananas,Comedy,en,United Artists,United States of America,1971,$2000000,$11833696.0
The Cheat,Drama,en,Jesse L. Lasky Feature Play Company,United States of America,1915,$17311,$137365.0
The Shaggy Dog,Comedy-Family,en,Walt Disney Pictures,United States of America,2006,$50000000,$61112916.0
Far and Away,Adventure-Drama-Romance-Western,en,Imagine Entertainment,,1992,$60000000,$137783840.0
Late Autumn,Drama,ko,North by Northwest Entertainment,China,2010,$6200000,$4820000.0
All About Steve,Comedy,en,Dune Entertainment,United States of America,2009,$15000000,$40105542.0
The DUFF,Romance-Comedy,en,Wonderland Sound and Vision,United States of America,2015,$8500000,$43528634.0
Let's Be Cops,Comedy,en,Twentieth Century Fox Film Corporation,United States of America,2014,$17000000,$136621271.0
After.Life,Drama-Horror-Mystery-Thriller,en,Plum Pictures,United States of America,2010,$4500000,$3606395.0
